country,year,sex,age,population,gdp_per_capita ($),generation,suicides/100k pop
Albania,1995,female,35-54 years,356400,835,Boomers,2.24
Albania,1995,male,5-14 years,376500,835,Millenials,1.59
Albania,1995,female,55-74 years,180400,835,Silent,1.11
Albania,1995,female,5-14 years,348700,835,Millenials,0.57
Albania,1996,male,75+ years,25400,1127,G.I. Generation,7.87
Albania,1996,male,15-24 years,243600,1127,Generation X,6.98
Albania,1996,male,25-34 years,235300,1127,Generation X,5.95
Albania,1996,female,15-24 years,287700,1127,Generation X,5.56
Albania,1996,female,75+ years,41200,1127,G.I. Generation,4.85
Albania,1996,female,25-34 years,267900,1127,Generation X,3.73
Albania,1996,male,35-54 years,379600,1127,Boomers,3.16
Albania,1996,female,35-54 years,362000,1127,Boomers,2.49
Albania,1996,male,55-74 years,179900,1127,Silent,1.67
Albania,1996,female,55-74 years,183100,1127,Silent,0.55
Albania,1996,male,5-14 years,380400,1127,Millenials,0.53
Albania,1996,female,5-14 years,354100,1127,Millenials,0.28
Albania,1997,male,25-34 years,236000,793,Generation X,15.25
Albania,1997,male,15-24 years,244400,793,Generation X,13.5
Albania,1997,male,75+ years,25400,793,G.I. Generation,11.81
Albania,1997,male,35-54 years,380800,793,Boomers,7.88
Albania,1997,female,15-24 years,294000,793,Generation X,7.14
Albania,1997,male,55-74 years,180300,793,Silent,6.66
Albania,1997,female,25-34 years,273900,793,Generation X,5.84
Albania,1997,female,75+ years,42100,793,G.I. Generation,4.75
Albania,1997,female,35-54 years,370100,793,Boomers,1.89
Albania,1997,female,5-14 years,361800,793,Millenials,1.66
Albania,1997,male,5-14 years,381500,793,Millenials,1.05
Albania,1997,female,55-74 years,187000,793,Silent,0
Albania,1998,male,75+ years,25800,899,G.I. Generation,11.63
Albania,1998,male,15-24 years,248800,899,Generation X,10.85
Albania,1998,female,15-24 years,295600,899,Generation X,10.83
Albania,1998,male,25-34 years,240400,899,Generation X,10.82
Albania,1998,male,35-54 years,388200,899,Boomers,7.47
Albania,1998,male,55-74 years,183800,899,Silent,4.9
Albania,1998,female,25-34 years,275300,899,Generation X,3.63
Albania,1998,female,55-74 years,188200,899,Silent,3.19
Albania,1998,female,35-54 years,372100,899,Boomers,2.42
Albania,1998,male,5-14 years,388400,899,Millenials,0.51
Albania,1998,female,5-14 years,363800,899,Millenials,0.27
Albania,1998,female,75+ years,42300,899,G.I. Generation,0
Albania,1999,male,75+ years,25900,1127,G.I. Generation,11.58
Albania,1999,male,15-24 years,250600,1127,Generation X,9.58
Albania,1999,female,75+ years,42400,1127,G.I. Generation,9.43
Albania,1999,male,35-54 years,391100,1127,Boomers,7.93
Albania,1999,male,25-34 years,242300,1127,Generation X,7.84
Albania,1999,male,55-74 years,185200,1127,Silent,7.56
Albania,1999,female,15-24 years,296800,1127,Generation X,6.4
Albania,1999,female,25-34 years,276500,1127,Generation X,4.7
Albania,1999,female,55-74 years,188800,1127,Silent,3.18
Albania,1999,female,35-54 years,373600,1127,Boomers,1.34
Albania,1999,female,5-14 years,365200,1127,Millenials,0.27
Albania,1999,male,5-14 years,391300,1127,Millenials,0
Albania,2000,male,25-34 years,232000,1299,Generation X,7.33
Albania,2000,male,55-74 years,177400,1299,Silent,5.64
Albania,2000,female,75+ years,37800,1299,G.I. Generation,5.29
Albania,2000,male,75+ years,24900,1299,G.I. Generation,4.02
Albania,2000,female,15-24 years,263900,1299,Generation X,2.27
Albania,2000,male,15-24 years,240000,1299,Generation X,2.08
Albania,2000,female,35-54 years,332200,1299,Boomers,1.51
Albania,2000,female,25-34 years,245800,1299,Generation X,1.22
Albania,2000,male,35-54 years,374700,1299,Boomers,1.07
Albania,2000,male,5-14 years,374900,1299,Millenials,0.27
Albania,2000,female,5-14 years,324700,1299,Millenials,0
Albania,2000,female,55-74 years,168000,1299,Silent,0
Albania,2001,male,25-34 years,206484,1451,Generation X,10.65
Albania,2001,male,35-54 years,378826,1451,Boomers,8.98
Albania,2001,male,55-74 years,196670,1451,Silent,5.59
Albania,2001,female,75+ years,47254,1451,Silent,4.23
Albania,2001,male,15-24 years,256039,1451,Millenials,3.91
Albania,2001,female,15-24 years,271359,1451,Millenials,3.32
Albania,2001,female,35-54 years,370191,1451,Boomers,3.24
Albania,2001,male,75+ years,31044,1451,Silent,3.22
Albania,2001,female,55-74 years,189799,1451,Silent,3.16
Albania,2001,male,5-14 years,321556,1451,Millenials,1.87
Albania,2001,female,25-34 years,222771,1451,Generation X,1.8
Albania,2001,female,5-14 years,307356,1451,Millenials,0.65
Albania,2002,male,75+ years,31007,1573,Silent,12.9
Albania,2002,male,25-34 years,206286,1573,Generation X,11.15
Albania,2002,male,35-54 years,382139,1573,Boomers,9.16
Albania,2002,male,55-74 years,198130,1573,Silent,6.56
Albania,2002,male,15-24 years,263067,1573,Millenials,5.7
Albania,2002,female,15-24 years,275970,1573,Millenials,5.07
Albania,2002,female,35-54 years,375113,1573,Boomers,4
Albania,2002,female,25-34 years,223685,1573,Generation X,3.13
Albania,2002,female,75+ years,47407,1573,Silent,2.11
Albania,2002,female,55-74 years,191712,1573,Silent,2.09
Albania,2002,female,5-14 years,304850,1573,Millenials,0.33
Albania,2002,male,5-14 years,319473,1573,Millenials,0.31
Albania,2003,female,75+ years,49088,2021,Silent,12.22
Albania,2003,male,55-74 years,201520,2021,Silent,7.94
Albania,2003,male,35-54 years,386196,2021,Boomers,7.25
Albania,2003,male,15-24 years,273235,2021,Millenials,5.49
Albania,2003,female,15-24 years,283709,2021,Millenials,4.93
Albania,2003,female,55-74 years,195699,2021,Silent,4.6
Albania,2003,male,25-34 years,205433,2021,Generation X,4.38
Albania,2003,female,25-34 years,222941,2021,Generation X,4.04
Albania,2003,female,35-54 years,381760,2021,Boomers,3.41
Albania,2003,male,75+ years,32667,2021,Silent,3.06
Albania,2003,male,5-14 years,313204,2021,Millenials,1.28
Albania,2003,female,5-14 years,298477,2021,Millenials,0
Albania,2004,male,75+ years,35526,2544,Silent,11.26
Albania,2004,male,35-54 years,391767,2544,Boomers,9.95
Albania,2004,male,25-34 years,203938,2544,Generation X,7.85
Albania,2004,female,15-24 years,292268,2544,Millenials,6.84
Albania,2004,male,15-24 years,286768,2544,Millenials,6.63
Albania,2004,female,75+ years,50970,2544,Silent,5.89
Albania,2004,female,25-34 years,222389,2544,Generation X,4.95
Albania,2004,male,55-74 years,207202,2544,Silent,4.83
Albania,2004,female,35-54 years,391436,2544,Boomers,4.34
Albania,2004,female,55-74 years,203841,2544,Silent,1.47
Albania,2004,female,5-14 years,286705,2544,Millenials,1.05
Albania,2004,male,5-14 years,302181,2544,Millenials,0.33
Albania,2005,female,15-24 years,281922,2931,Millenials,0
Albania,2005,female,25-34 years,190745,2931,Generation X,0
Albania,2005,female,35-54 years,386513,2931,Boomers,0
Albania,2005,female,5-14 years,276559,2931,Millenials,0
Albania,2005,female,55-74 years,210998,2931,Silent,0
Albania,2005,female,75+ years,53191,2931,Silent,0
Albania,2005,male,15-24 years,281675,2931,Millenials,0
Albania,2005,male,25-34 years,177519,2931,Generation X,0
Albania,2005,male,35-54 years,380242,2931,Boomers,0
Albania,2005,male,5-14 years,291367,2931,Millenials,0
Albania,2005,male,55-74 years,214118,2931,Silent,0
Albania,2005,male,75+ years,38471,2931,Silent,0
Albania,2006,female,15-24 years,283138,3235,Millenials,0
Albania,2006,female,25-34 years,186391,3235,Generation X,0
Albania,2006,female,35-54 years,388746,3235,Boomers,0
Albania,2006,female,5-14 years,267316,3235,Millenials,0
Albania,2006,female,55-74 years,215907,3235,Silent,0
Albania,2006,female,75+ years,56011,3235,Silent,0
Albania,2006,male,15-24 years,286679,3235,Millenials,0
Albania,2006,male,25-34 years,174092,3235,Generation X,0
Albania,2006,male,35-54 years,379076,3235,Boomers,0
Albania,2006,male,5-14 years,282678,3235,Millenials,0
Albania,2006,male,55-74 years,219360,3235,Silent,0
Albania,2006,male,75+ years,40782,3235,Silent,0
Albania,2007,male,75+ years,42366,3863,Silent,18.88
Albania,2007,male,35-54 years,378626,3863,Boomers,7.66
Albania,2007,male,55-74 years,224160,3863,Silent,6.25
Albania,2007,female,75+ years,57404,3863,Silent,5.23
Albania,2007,male,25-34 years,172494,3863,Generation X,5.22
Albania,2007,female,15-24 years,281080,3863,Millenials,4.63
Albania,2007,male,15-24 years,288349,3863,Millenials,4.51
Albania,2007,female,25-34 years,183629,3863,Generation X,4.36
Albania,2007,female,55-74 years,221120,3863,Silent,4.07
Albania,2007,female,35-54 years,391811,3863,Boomers,3.57
Albania,2007,male,5-14 years,272497,3863,Generation Z,1.47
Albania,2007,female,5-14 years,256808,3863,Generation Z,0
Albania,2008,male,25-34 years,172855,4672,Generation X,12.15
Albania,2008,male,35-54 years,377119,4672,Boomers,9.81
Albania,2008,male,55-74 years,228672,4672,Silent,9.18
Albania,2008,female,75+ years,59369,4672,Silent,8.42
Albania,2008,female,15-24 years,276073,4672,Millenials,7.24
Albania,2008,female,25-34 years,182663,4672,Generation X,4.93
Albania,2008,female,35-54 years,393832,4672,Boomers,4.82
Albania,2008,male,75+ years,44574,4672,Silent,4.49
Albania,2008,male,15-24 years,286702,4672,Millenials,3.84
Albania,2008,female,55-74 years,226448,4672,Silent,3.09
Albania,2008,male,5-14 years,262464,4672,Generation Z,2.67
Albania,2008,female,5-14 years,246288,4672,Generation Z,0.41
Albania,2009,female,15-24 years,270003,4387,Millenials,0
Albania,2009,female,25-34 years,182712,4387,Generation X,0
Albania,2009,female,35-54 years,394286,4387,Boomers,0
Albania,2009,female,5-14 years,236174,4387,Generation Z,0
Albania,2009,female,55-74 years,233302,4387,Silent,0
Albania,2009,female,75+ years,61582,4387,Silent,0
Albania,2009,male,15-24 years,283448,4387,Millenials,0
Albania,2009,male,25-34 years,174955,4387,Generation X,0
Albania,2009,male,35-54 years,374365,4387,Boomers,0
Albania,2009,male,5-14 years,253007,4387,Generation Z,0
Albania,2009,male,55-74 years,234570,4387,Silent,0
Albania,2009,male,75+ years,47331,4387,Silent,0
Albania,2010,male,55-74 years,241852,4359,Silent,8.27
Albania,2010,male,35-54 years,371611,4359,Generation X,5.38
Albania,2010,male,25-34 years,179720,4359,Generation X,5.01
Albania,2010,male,75+ years,50767,4359,Silent,3.94
Albania,2010,male,15-24 years,279508,4359,Millenials,3.58
Albania,2010,female,25-34 years,183579,4359,Generation X,3.27
Albania,2010,female,75+ years,64415,4359,Silent,3.1
Albania,2010,female,35-54 years,394593,4359,Generation X,3.04
Albania,2010,female,55-74 years,241491,4359,Silent,2.9
Albania,2010,female,15-24 years,263581,4359,Millenials,2.28
Albania,2010,female,5-14 years,223969,4359,Generation Z,0.89
Albania,2010,male,5-14 years,240939,4359,Generation Z,0
Antigua and Barbuda,1985,female,15-24 years,7709,3850,Generation X,0
Antigua and Barbuda,1985,female,25-34 years,6344,3850,Boomers,0
Antigua and Barbuda,1985,female,35-54 years,6173,3850,Silent,0
Antigua and Barbuda,1985,female,5-14 years,7339,3850,Generation X,0
Antigua and Barbuda,1985,female,55-74 years,3778,3850,G.I. Generation,0
Antigua and Barbuda,1985,female,75+ years,949,3850,G.I. Generation,0
Antigua and Barbuda,1985,male,15-24 years,7667,3850,Generation X,0
Antigua and Barbuda,1985,male,25-34 years,6194,3850,Boomers,0
Antigua and Barbuda,1985,male,35-54 years,5970,3850,Silent,0
Antigua and Barbuda,1985,male,5-14 years,7304,3850,Generation X,0
Antigua and Barbuda,1985,male,55-74 years,2723,3850,G.I. Generation,0
Antigua and Barbuda,1985,male,75+ years,424,3850,G.I. Generation,0
Antigua and Barbuda,1986,female,15-24 years,7668,4740,Generation X,0
Antigua and Barbuda,1986,female,25-34 years,6209,4740,Boomers,0
Antigua and Barbuda,1986,female,35-54 years,6101,4740,Silent,0
Antigua and Barbuda,1986,female,5-14 years,6907,4740,Generation X,0
Antigua and Barbuda,1986,female,55-74 years,3764,4740,G.I. Generation,0
Antigua and Barbuda,1986,female,75+ years,1014,4740,G.I. Generation,0
Antigua and Barbuda,1986,male,15-24 years,7563,4740,Generation X,0
Antigua and Barbuda,1986,male,25-34 years,6023,4740,Boomers,0
Antigua and Barbuda,1986,male,35-54 years,5947,4740,Silent,0
Antigua and Barbuda,1986,male,5-14 years,6827,4740,Generation X,0
Antigua and Barbuda,1986,male,55-74 years,2771,4740,G.I. Generation,0
Antigua and Barbuda,1986,male,75+ years,476,4740,G.I. Generation,0
Antigua and Barbuda,1987,female,15-24 years,7583,5595,Generation X,0
Antigua and Barbuda,1987,female,25-34 years,6101,5595,Boomers,0
Antigua and Barbuda,1987,female,35-54 years,6059,5595,Silent,0
Antigua and Barbuda,1987,female,5-14 years,6623,5595,Generation X,0
Antigua and Barbuda,1987,female,55-74 years,3738,5595,G.I. Generation,0
Antigua and Barbuda,1987,female,75+ years,1081,5595,G.I. Generation,0
Antigua and Barbuda,1987,male,15-24 years,7421,5595,Generation X,0
Antigua and Barbuda,1987,male,25-34 years,5893,5595,Boomers,0
Antigua and Barbuda,1987,male,35-54 years,5927,5595,Silent,0
Antigua and Barbuda,1987,male,5-14 years,6499,5595,Generation X,0
Antigua and Barbuda,1987,male,55-74 years,2798,5595,G.I. Generation,0
Antigua and Barbuda,1987,male,75+ years,538,5595,G.I. Generation,0
Antigua and Barbuda,1988,female,15-24 years,7413,6693,Generation X,0
Antigua and Barbuda,1988,female,25-34 years,6041,6693,Boomers,0
Antigua and Barbuda,1988,female,35-54 years,6021,6693,Silent,0
Antigua and Barbuda,1988,female,5-14 years,6527,6693,Generation X,0
Antigua and Barbuda,1988,female,55-74 years,3708,6693,G.I. Generation,0
Antigua and Barbuda,1988,female,75+ years,1141,6693,G.I. Generation,0
Antigua and Barbuda,1988,male,15-24 years,7209,6693,Generation X,0
Antigua and Barbuda,1988,male,25-34 years,5826,6693,Boomers,0
Antigua and Barbuda,1988,male,35-54 years,5907,6693,Silent,0
Antigua and Barbuda,1988,male,5-14 years,6355,6693,Generation X,0
Antigua and Barbuda,1988,male,55-74 years,2813,6693,G.I. Generation,0
Antigua and Barbuda,1988,male,75+ years,603,6693,G.I. Generation,0
Antigua and Barbuda,1989,female,15-24 years,7152,7407,Generation X,0
Antigua and Barbuda,1989,female,25-34 years,6059,7407,Boomers,0
Antigua and Barbuda,1989,female,35-54 years,5969,7407,Silent,0
Antigua and Barbuda,1989,female,5-14 years,6621,7407,Generation X,0
Antigua and Barbuda,1989,female,55-74 years,3696,7407,G.I. Generation,0
Antigua and Barbuda,1989,female,75+ years,1195,7407,G.I. Generation,0
Antigua and Barbuda,1989,male,15-24 years,6927,7407,Generation X,0
Antigua and Barbuda,1989,male,25-34 years,5835,7407,Boomers,0
Antigua and Barbuda,1989,male,35-54 years,5862,7407,Silent,0
Antigua and Barbuda,1989,male,5-14 years,6403,7407,Generation X,0
Antigua and Barbuda,1989,male,55-74 years,2843,7407,G.I. Generation,0
Antigua and Barbuda,1989,male,75+ years,676,7407,G.I. Generation,0
Antigua and Barbuda,1990,male,35-54 years,5799,7744,Silent,17.24
Antigua and Barbuda,1990,female,15-24 years,6827,7744,Generation X,0
Antigua and Barbuda,1990,female,25-34 years,6172,7744,Boomers,0
Antigua and Barbuda,1990,female,35-54 years,5895,7744,Silent,0
Antigua and Barbuda,1990,female,5-14 years,6877,7744,Generation X,0
Antigua and Barbuda,1990,female,55-74 years,3706,7744,G.I. Generation,0
Antigua and Barbuda,1990,female,75+ years,1252,7744,G.I. Generation,0
Antigua and Barbuda,1990,male,15-24 years,6598,7744,Generation X,0
Antigua and Barbuda,1990,male,25-34 years,5937,7744,Boomers,0
Antigua and Barbuda,1990,male,5-14 years,6611,7744,Generation X,0
Antigua and Barbuda,1990,male,55-74 years,2902,7744,G.I. Generation,0
Antigua and Barbuda,1990,male,75+ years,758,7744,G.I. Generation,0
Antigua and Barbuda,1991,female,15-24 years,6595,7976,Generation X,0
Antigua and Barbuda,1991,female,25-34 years,6396,7976,Boomers,0
Antigua and Barbuda,1991,female,35-54 years,6198,7976,Boomers,0
Antigua and Barbuda,1991,female,5-14 years,7089,7976,Millenials,0
Antigua and Barbuda,1991,female,55-74 years,3665,7976,Silent,0
Antigua and Barbuda,1991,female,75+ years,1293,7976,G.I. Generation,0
Antigua and Barbuda,1991,male,15-24 years,6401,7976,Generation X,0
Antigua and Barbuda,1991,male,25-34 years,6156,7976,Boomers,0
Antigua and Barbuda,1991,male,35-54 years,6122,7976,Boomers,0
Antigua and Barbuda,1991,male,5-14 years,6818,7976,Millenials,0
Antigua and Barbuda,1991,male,55-74 years,2857,7976,Silent,0
Antigua and Barbuda,1991,male,75+ years,804,7976,G.I. Generation,0
Antigua and Barbuda,1992,female,15-24 years,6369,8087,Generation X,0
Antigua and Barbuda,1992,female,25-34 years,6650,8087,Boomers,0
Antigua and Barbuda,1992,female,35-54 years,6534,8087,Boomers,0
Antigua and Barbuda,1992,female,5-14 years,7311,8087,Millenials,0
Antigua and Barbuda,1992,female,55-74 years,3648,8087,Silent,0
Antigua and Barbuda,1992,female,75+ years,1339,8087,G.I. Generation,0
Antigua and Barbuda,1992,male,15-24 years,6221,8087,Generation X,0
Antigua and Barbuda,1992,male,25-34 years,6409,8087,Boomers,0
Antigua and Barbuda,1992,male,35-54 years,6497,8087,Boomers,0
Antigua and Barbuda,1992,male,5-14 years,7059,8087,Millenials,0
Antigua and Barbuda,1992,male,55-74 years,2851,8087,Silent,0
Antigua and Barbuda,1992,male,75+ years,853,8087,G.I. Generation,0
Antigua and Barbuda,1993,male,25-34 years,6668,8453,Boomers,15
Antigua and Barbuda,1993,female,15-24 years,6182,8453,Generation X,0
Antigua and Barbuda,1993,female,25-34 years,6914,8453,Boomers,0
Antigua and Barbuda,1993,female,35-54 years,6917,8453,Boomers,0
Antigua and Barbuda,1993,female,5-14 years,7529,8453,Millenials,0
Antigua and Barbuda,1993,female,55-74 years,3662,8453,Silent,0
Antigua and Barbuda,1993,female,75+ years,1386,8453,G.I. Generation,0
Antigua and Barbuda,1993,male,15-24 years,6069,8453,Generation X,0
Antigua and Barbuda,1993,male,35-54 years,6915,8453,Boomers,0
Antigua and Barbuda,1993,male,5-14 years,7298,8453,Millenials,0
Antigua and Barbuda,1993,male,55-74 years,2879,8453,Silent,0
Antigua and Barbuda,1993,male,75+ years,896,8453,G.I. Generation,0
Antigua and Barbuda,1994,female,15-24 years,6083,9062,Generation X,0
Antigua and Barbuda,1994,female,25-34 years,7151,9062,Boomers,0
Antigua and Barbuda,1994,female,35-54 years,7357,9062,Boomers,0
Antigua and Barbuda,1994,female,5-14 years,7722,9062,Millenials,0
Antigua and Barbuda,1994,female,55-74 years,3715,9062,Silent,0
Antigua and Barbuda,1994,female,75+ years,1437,9062,G.I. Generation,0
Antigua and Barbuda,1994,male,15-24 years,5976,9062,Generation X,0
Antigua and Barbuda,1994,male,25-34 years,6886,9062,Boomers,0
Antigua and Barbuda,1994,male,35-54 years,7359,9062,Boomers,0
Antigua and Barbuda,1994,male,5-14 years,7494,9062,Millenials,0
Antigua and Barbuda,1994,male,55-74 years,2935,9062,Silent,0
Antigua and Barbuda,1994,male,75+ years,929,9062,G.I. Generation,0
Antigua and Barbuda,1995,female,15-24 years,6099,8636,Generation X,0
Antigua and Barbuda,1995,female,25-34 years,7333,8636,Generation X,0
Antigua and Barbuda,1995,female,35-54 years,7851,8636,Boomers,0
Antigua and Barbuda,1995,female,5-14 years,7885,8636,Millenials,0
Antigua and Barbuda,1995,female,55-74 years,3808,8636,Silent,0
Antigua and Barbuda,1995,female,75+ years,1488,8636,G.I. Generation,0
Antigua and Barbuda,1995,male,15-24 years,5953,8636,Generation X,0
Antigua and Barbuda,1995,male,25-34 years,7023,8636,Generation X,0
Antigua and Barbuda,1995,male,35-54 years,7809,8636,Boomers,0
Antigua and Barbuda,1995,male,5-14 years,7632,8636,Millenials,0
Antigua and Barbuda,1995,male,55-74 years,3021,8636,Silent,0
Antigua and Barbuda,1995,male,75+ years,944,8636,G.I. Generation,0
Antigua and Barbuda,1998,female,15-24 years,6529,10078,Generation X,0
Antigua and Barbuda,1998,female,25-34 years,8332,10078,Generation X,0
Antigua and Barbuda,1998,female,35-54 years,9615,10078,Boomers,0
Antigua and Barbuda,1998,female,5-14 years,8183,10078,Millenials,0
Antigua and Barbuda,1998,female,55-74 years,3921,10078,Silent,0
Antigua and Barbuda,1998,female,75+ years,1476,10078,G.I. Generation,0
Antigua and Barbuda,1998,male,15-24 years,5916,10078,Generation X,0
Antigua and Barbuda,1998,male,25-34 years,7294,10078,Generation X,0
Antigua and Barbuda,1998,male,35-54 years,9086,10078,Boomers,0
Antigua and Barbuda,1998,male,5-14 years,7706,10078,Millenials,0
Antigua and Barbuda,1998,male,55-74 years,3213,10078,Silent,0
Antigua and Barbuda,1998,male,75+ years,954,10078,G.I. Generation,0
Antigua and Barbuda,1999,female,15-24 years,6589,10378,Generation X,0
Antigua and Barbuda,1999,female,25-34 years,8526,10378,Generation X,0
Antigua and Barbuda,1999,female,35-54 years,10311,10378,Boomers,0
Antigua and Barbuda,1999,female,5-14 years,8314,10378,Millenials,0
Antigua and Barbuda,1999,female,55-74 years,3968,10378,Silent,0
Antigua and Barbuda,1999,female,75+ years,1451,10378,G.I. Generation,0
Antigua and Barbuda,1999,male,15-24 years,5845,10378,Generation X,0
Antigua and Barbuda,1999,male,25-34 years,7263,10378,Generation X,0
Antigua and Barbuda,1999,male,35-54 years,9537,10378,Boomers,0
Antigua and Barbuda,1999,male,5-14 years,7805,10378,Millenials,0
Antigua and Barbuda,1999,male,55-74 years,3276,10378,Silent,0
Antigua and Barbuda,1999,male,75+ years,947,10378,G.I. Generation,0
Antigua and Barbuda,2000,male,55-74 years,3333,11021,Silent,30
Antigua and Barbuda,2000,male,35-54 years,10033,11021,Boomers,9.97
Antigua and Barbuda,2000,female,15-24 years,6616,11021,Generation X,0
Antigua and Barbuda,2000,female,25-34 years,8595,11021,Generation X,0
Antigua and Barbuda,2000,female,35-54 years,11040,11021,Boomers,0
Antigua and Barbuda,2000,female,5-14 years,8439,11021,Millenials,0
Antigua and Barbuda,2000,female,55-74 years,3986,11021,Silent,0
Antigua and Barbuda,2000,female,75+ years,1413,11021,G.I. Generation,0
Antigua and Barbuda,2000,male,15-24 years,5783,11021,Generation X,0
Antigua and Barbuda,2000,male,25-34 years,7177,11021,Generation X,0
Antigua and Barbuda,2000,male,5-14 years,7973,11021,Millenials,0
Antigua and Barbuda,2000,male,75+ years,938,11021,G.I. Generation,0
Antigua and Barbuda,2001,male,35-54 years,10281,10468,Boomers,19.45
Antigua and Barbuda,2001,female,15-24 years,6902,10468,Millenials,0
Antigua and Barbuda,2001,female,25-34 years,8425,10468,Generation X,0
Antigua and Barbuda,2001,female,35-54 years,11402,10468,Boomers,0
Antigua and Barbuda,2001,female,5-14 years,8428,10468,Millenials,0
Antigua and Barbuda,2001,female,55-74 years,4037,10468,Silent,0
Antigua and Barbuda,2001,female,75+ years,1487,10468,Silent,0
Antigua and Barbuda,2001,male,15-24 years,6084,10468,Millenials,0
Antigua and Barbuda,2001,male,25-34 years,7071,10468,Generation X,0
